	id	size	size	sex	height	weight	x2d	y2d	x3d	y3d	z3d
9576	2786	1	0.0	F	176	54.0	0.380723	0.831836	-91.6697777671207	-57.98386137221392	-37.19315188557354
905	2792	1	0.0	M	168	68.0	0.416932	0.511146	-61.120937107566355	17.602088519835725	52.51383410787143
13155	2793	1	0.0	F	169	53.0	0.815222	0.753836	12.5253198066235	50.11234729369037	-62.03831053516397
9577	2799	2	0.034483	M	175	72.0	0.799513	0.70258	12.114315839648974	52.000910666090036	-59.57201419153905
14548	2805	1	0.0	M	180	72.0	0.21391	0.806542	11.966600006431271	50.94139303985412	-55.58421971578339
11758	2810	1	0.0	M	180	85.0	0.745191	0.792271	11.649258459526155	53.1137917178195	-54.00092906750782
906	2811	1	0.0	M			0.414739	0.509687	12.375057823804475	46.75243116306986	-46.24850355092538
11759	2812	2	0.034483	M	170	75.0	0.398323	0.877481	-81.26960342501638	-31.80500535285414	11.734658240318593
7644	2835	3	0.068966	M	177	68.0	0.724182	0.309017	-53.3446012349257	-13.435000744686926	-0.3856295591947336
9578	2851	3	0.068966	M	186	75.0	0.327668	0.808474	-95.49459635667279	-71.27663870156931	11.416952189485642
6912	2856	1	0.0	F			0.750659	0.659222	-61.01127971231012	25.98750218504067	38.58662198714625
5405	2866	2	0.034483	M	189		0.676722	0.333588	-29.997303615991253	-21.486642907978123	-49.97219541498552
5406	2867	2	0.034483	F	170	77.0	0.75423	0.496452	-1.5294789807708966	67.89257794768555	-17.722722625013706
3755	2869	1	0.0	M	163	69.0	0.705564	0.569903	-0.9808323949244091	68.17713548685182	-12.711800590514496
4566	2873	2	0.034483	F	163	55.0	0.364639	0.317362	38.36879178277514	3.5594610331153014	-24.64730865268892
1486	2876	2	0.034483	M			0.545955	0.529056	-28.869848840246192	-20.32639907159946	-56.44552236749159
6091	2884	1	0.0	F			0.742182	0.635328	39.64962740669386	-16.698775531660807	-50.88592505766832
6092	2887	1	0.0	M	182	83.0	0.584476	0.763372	-50.86876198975591	41.87042824071158	36.80104930321366
3756	2899	1	0.0	M			0.702102	0.595298	-47.3039362129219	41.941927208498804	39.5442336756021
6	2902	1	0.0	M			0.509457	0.536227	-40.17428465925386	42.08492514407327	45.030602420378976
9579	2914	1	0.0	M	182	83.0	0.68861	0.800727	55.959324506401344	-33.2395611511154	-20.805276091599243
1487	2921	1	0.0	M			0.369375	0.566858	53.58277398851199	-33.28722712964023	-22.63406567319154
2105	2938	1	0.0	F			0.656035	0.47456	54.77104924745666	-33.26339414037781	-21.71967088239539
7	2939	1	0.0	M	174		0.52557	0.50164	-18.06582182797993	53.405966744570996	-18.274796049474176
11760	2941	1	0.0	M	180	78.0	0.83827	0.337715	-49.981111535803706	32.077378249662104	20.419734810750256
10891	2961	1	0.0	M	183	85.0	0.629821	0.178779	-42.851459982135665	32.22037618523657	25.906103555527135
3757	2962	3	0.068966	F	158	60.0	0.703436	0.622871	-28.39852964602616	49.62733068745133	1.4936707616879399
8594	2963	2	0.034483	M	182	84.0	0.718166	0.766516	-95.60208252646287	-44.63204657693742	-13.828743593904909
11761	2965	2	0.034483	F	170	69.0	0.572598	0.885816	-11.590223005459993	4.216834862892857	9.631999551281014
3273	2987	2	0.034483	M	178	83.0	0.570496	0.697531	-2.006714284259985	35.92818101888767	-23.24954911095284
15983	3001	4	0.103448	M	173	73.0	0.317999	0.108194	25.78639692912452	17.15757841275164	14.66544178564483
2106	3006	1	0.0	M			0.563783	0.647191	-43.62267979751232	30.089381396368267	4.803135847474795
2107	3021	2	0.034483	M	180	69.0	0.349686	0.451563	-39.071800501692245	31.56900069359399	13.885199470113808
1488	3022	9	0.275862	M	172	65.0	0.347107	0.474661	-7.1224675132182576	34.74667585290942	-23.056872803713052
4567	3043	1	0.0	M	168	77.0	0.546566	0.278371	13.492411958939435	20.99539160780828	-16.03499757187072
17418	3048	1	0.0	F	165	60.0	0.251299	0.131327	-82.04454609335289	-61.12070301120943	26.96068414795953
8595	3061	7	0.206897	M	180	75.0	0.182957	0.408624	-72.35284248121573	-39.56442912547187	-6.497786843879796
10892	3069	11	0.344828	M	190	82.0	0.778981	0.253704	-90.7943379745533	-41.155996532719016	-34.48282559118446
2647	3080	1	0.0	M			0.556024	0.341278	-89.88997541597868	-73.51352294900929	-33.92974507517082
9580	3088	2	0.034483	M	169	69.0	0.211439	0.708411	-94.14186153321256	-73.3053060852757	-35.984381000497876
1489	3091	1	0.0	M			0.372814	0.559237	-90.07582083783376	-72.93025829670525	-31.638253390251904
6913	3094	2	0.034483	F			0.31018	0.288338	-91.96606539569459	-73.48983773311272	-31.867513669141182
